CLUES,CLAVE DE LA INSTITUCION,NOMBRE DE LA INSTITUCION,CLAVE DE LA ENTIDAD,ENTIDAD,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,CLAVE DE LA JURISDICCION,JURISDICCION,CLAVE DEL TIPO ESTABLECIMIENTO,NOMBRE TIPO ESTABLECIMIENTO,CLAVE DE TIPOLOGIA,NOMBRE DE TIPOLOGIA,CLAVE DE SUBTIPOLOGIA,NOMBRE DE SUBTIPOLOGIA,NOMBRE DE LA UNIDAD,NOMBRE COMERCIAL,CLAVE TIPO DE VIALIDAD,TIPO DE VIALIDAD,VIALIDAD,NUMERO EXTERIOR,NUMERO INTERIOR,CLAVE TIPO DE ASENTAMIENTO,TIPO DE ASENTAMIENTO,ASENTAMIENTO,CODIGO POSTAL,OBSERVACIONES DE LA DIRECCION,CLAVE ESTATUS DE OPERACION,ESTATUS DE OPERACION,RFC DEL ESTABLECIMIENTO,TELEFONO 1 DEL ESTABLECIMIENTO,EXTENSION TELEFONICA 1 DEL ESTABLECIMIENTO,TELEFONO 2 DEL ESTABLECIMIENTO,EXTENSION TELEFONICA 2 DEL ESTABLECIMIENTO,FECHA DE CONSTRUCCION,FECHA DE INICIO DE OPERACION,CLAVE UNIDAD MOVIL MARCA,UNIDAD MOVIL MARCA,UNIDAD MOVIL MARCA ESPECIFICA,UNIDAD MOVIL MODELO,CLAVE UNIDAD MOVIL PROGRAMA,UNIDAD MOVIL PROGRAMA,CLAVE UNIDAD MOVIL TIPO,UNIDAD MOVIL TIPO,CLAVE UNIDAD MOVIL TIPOLOGIA,UNIDAD MOVIL TIPOLOGIA,CLAVE DE LA INS ADM,NOMBRE DE LA INS ADM,CLAVE NIVEL ATENCION,NIVEL ATENCION,CLAVE ESTRATO UNIDAD,ESTRATO UNIDAD,CLAVE TIPO OBRA,TIPO OBRA,CLAVE PROPIEDAD DEL INMUEBLE,PROPIEDAD DEL INMUEBLE,LATITUD,LONGITUD,CLAVE ULTIMO MOVIMIENTO,ULTIMO MOVIMIENTO,FECHA ULTIMO MOVIMIENTO,COMENTARIOS DE LA VALIDACION,CLAVE MOTIVO BAJA,MOTIVO BAJA,FECHA EFECTIVA DE BAJA
MSSMP001804,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,7,CUERNAVACA,1,CUERNAVACA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,SONORA,SIN NUMERO  ,,16.0,FRACCIONAMIENTO,JOYAS DE LOS JILGUEROS,62382.0,,1,EN OPERACION,XAXX111111,,,,,,29/05/2013,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9289061,-99.1915068,B,MODIFICACION,07/07/2016,,,,
MSSMP001822,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,7,CUERNAVACA,1,CUERNAVACA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,AGUSTIN MELGAR,SIN NUMERO  ,,7.0,COLONIA,CIUDAD CHAPULTEPEC,62398.0,,1,EN OPERACION,XAXX111111,,,,,,01/01/2012,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9226639,-99.1855076,B,MODIFICACION,07/07/2016,,,,
MSSMP001831,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,7,CUERNAVACA,1,CUERNAVACA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,PLAN DE AYALA,SIN NUMERO  ,,7.0,COLONIA,EL VERGEL,62400.0,,1,EN OPERACION,XAXX111111,7775229454.0,,,,,15/08/2013,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9276742,-99.2298203,B,MODIFICACION,07/07/2016,,,,
MSSMP001855,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,7,CUERNAVACA,1,CUERNAVACA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,ADOLFO RUIZ CORTINEZ,SIN NUMERO  ,,7.0,COLONIA,SAN MIGUEL ACAPANTZINGO,62446.0,,1,EN OPERACION,XAXX111111,,,,,,15/11/2012,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9028162,-99.2195798,B,MODIFICACION,07/07/2016,,,,
MSSMP001864,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,7,CUERNAVACA,1,CUERNAVACA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,CUAUHTEMOC,SIN NUMERO  ,,8.0,CONDOMINIO,CHAPULTEPEC,62450.0,,1,EN OPERACION,XAXX111111,,,,,,24/08/2013,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9228339,-99.2099667,B,MODIFICACION,07/07/2016,,,,
MSSMP001873,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,7,CUERNAVACA,1,CUERNAVACA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,10 DE ABRIL,SIN NUMERO  ,,7.0,COLONIA,VICENTE ESTRADA CAJIGAL,62460.0,,1,EN OPERACION,XAXX111111,7771037031.0,,,,,12/05/2004,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9177401,-99.2002463,B,MODIFICACION,07/07/2016,,,,
MSSMP001882,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,8,EMILIANO ZAPATA,1,EMILIANO ZAPATA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,NO REELECCION,SIN NUMERO  ,,16.0,FRACCIONAMIENTO,CENTRO,62760.0,,1,EN OPERACION,XAXX111111,7772256653.0,,,,,12/01/2012,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.8409937,-99.1837914,B,MODIFICACION,07/07/2016,,,,
MSSMP001891,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,8,EMILIANO ZAPATA,1,EMILIANO ZAPATA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,EMILIANO ZAPATA,SIN NUMERO  ,,16.0,FRACCIONAMIENTO,PROHOGAR,62765.0,,1,EN OPERACION,XAXX111111,7771590180.0,,,,,17/12/2014,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.8448738,-99.1881454,B,MODIFICACION,07/07/2016,,,,
MSSMP001900,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,8,EMILIANO ZAPATA,1,EMILIANO ZAPATA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,CONSTITUCION,SIN NUMERO  ,,16.0,FRACCIONAMIENTO,MODESTO RANGEL,62766.0,,1,EN OPERACION,XAXX111111,7773199882.0,,,,,18/03/2013,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.835002,-99.1847557,B,MODIFICACION,07/07/2016,,,,
MSSMP001915,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,9,HUITZILAC,1,HUITZILAC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,CUAUHTEMOC,SIN NUMERO  ,,25.0,PUEBLO,3 MARIAS,62515.0,,1,EN OPERACION,XAXX111111,,,,,,01/08/2015,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,19.0543577,-99.2442567,B,MODIFICACION,07/07/2016,,,,
