CLUES,CLAVE DE LA INSTITUCION,NOMBRE DE LA INSTITUCION,CLAVE DE LA ENTIDAD,ENTIDAD,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,CLAVE DE LA JURISDICCION,JURISDICCION,CLAVE DEL TIPO ESTABLECIMIENTO,NOMBRE TIPO ESTABLECIMIENTO,CLAVE DE TIPOLOGIA,NOMBRE DE TIPOLOGIA,CLAVE DE SUBTIPOLOGIA,NOMBRE DE SUBTIPOLOGIA,NOMBRE DE LA UNIDAD,NOMBRE COMERCIAL,CLAVE TIPO DE VIALIDAD,TIPO DE VIALIDAD,VIALIDAD,NUMERO EXTERIOR,NUMERO INTERIOR,CLAVE TIPO DE ASENTAMIENTO,TIPO DE ASENTAMIENTO,ASENTAMIENTO,CODIGO POSTAL,OBSERVACIONES DE LA DIRECCION,CLAVE ESTATUS DE OPERACION,ESTATUS DE OPERACION,RFC DEL ESTABLECIMIENTO,TELEFONO 1 DEL ESTABLECIMIENTO,EXTENSION TELEFONICA 1 DEL ESTABLECIMIENTO,TELEFONO 2 DEL ESTABLECIMIENTO,EXTENSION TELEFONICA 2 DEL ESTABLECIMIENTO,FECHA DE CONSTRUCCION,FECHA DE INICIO DE OPERACION,CLAVE UNIDAD MOVIL MARCA,UNIDAD MOVIL MARCA,UNIDAD MOVIL MARCA ESPECIFICA,UNIDAD MOVIL MODELO,CLAVE UNIDAD MOVIL PROGRAMA,UNIDAD MOVIL PROGRAMA,CLAVE UNIDAD MOVIL TIPO,UNIDAD MOVIL TIPO,CLAVE UNIDAD MOVIL TIPOLOGIA,UNIDAD MOVIL TIPOLOGIA,CLAVE DE LA INS ADM,NOMBRE DE LA INS ADM,CLAVE NIVEL ATENCION,NIVEL ATENCION,CLAVE ESTRATO UNIDAD,ESTRATO UNIDAD,CLAVE TIPO OBRA,TIPO OBRA,CLAVE PROPIEDAD DEL INMUEBLE,PROPIEDAD DEL INMUEBLE,LATITUD,LONGITUD,CLAVE ULTIMO MOVIMIENTO,ULTIMO MOVIMIENTO,FECHA ULTIMO MOVIMIENTO,COMENTARIOS DE LA VALIDACION,CLAVE MOTIVO BAJA,MOTIVO BAJA,FECHA EFECTIVA DE BAJA
MSIMB002030,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,17,MORELOS,1,AMACUZAC,3,CASAHUATLAN,2,JOJUTLA,1,DE CONSULTA EXTERNA,A,RURAL DE 01 NÚCLEO BÁSICO,99,NO ESPECIFICADO,CENTRO DE SALUD CASAHUATLÁN II,CENTRO DE SALUD CASAHUATLÁN II,5.0,CALLE,SALUBRIDAD,SIN NUMERO  ,,25.0,PUEBLO,CASAHUATLAN,62654.0,POR DONDE ESTA LA CASETA FITO SANITARIA,1,EN OPERACION,SSM961127H58,7513478055,,7343420097.0,,04/08/2008,01/05/2009,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,1,RURAL,4.0,REHABILITACION,1.0,PROPIO,18.5711154,-99.393257,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
MSIMB002042,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,UNE,UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES),UNE15,UNEMES DE SALUD MENTAL Y ADICCIONES,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES JIUTEPEC,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES JIUTEPEC,5.0,CALLE,REAL DE YAUTEPEC,SIN NUMERO  ,,7.0,COLONIA,EL PARAÍSO,62573.0,AL LADO DEL LABORATORIO ESTATAL DE SALUD PUBLICA,1,EN OPERACION,SSM961127H58,7773191646,,7773128877.0,,31/01/2009,01/01/2010,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,2,URBANO,4.0,REHABILITACION,1.0,PROPIO,18.89959,-99.1645,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
MSIMB002054,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,17,MORELOS,18,TEMIXCO,1,TEMIXCO,1,CUERNAVACA,1,DE CONSULTA EXTERNA,UNE,UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES),UNE15,UNEMES DE SALUD MENTAL Y ADICCIONES,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES TEMIXCO,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES TEMIXCO,5.0,CALLE,TABACHINES,SIN NUMERO  ,,7.0,COLONIA,TEMIXCO CENTRO,62580.0,FRENTE AL IMSS CLINICA 16,1,EN OPERACION,SSM961127H58,7773254598,,7773128877.0,,31/01/2009,01/04/2010,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,2,URBANO,4.0,REHABILITACION,1.0,PROPIO,18.85341,-99.22367,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
MSIMB002066,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,17,MORELOS,28,XOCHITEPEC,1,XOCHITEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,UNE,UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES),UNE15,UNEMES DE SALUD MENTAL Y ADICCIONES,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES XOCHITEPEC,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES XOCHITEPEC,5.0,CALLE,LEOPOLDO REYNOSO,SIN NUMERO  ,,7.0,COLONIA,XOCHITEPEC CENTRO,62790.0,ATRÁS DEL IMSS XOCHITEPEC,1,EN OPERACION,SSM961127H58,7773657003,,7773128877.0,,31/03/2009,01/04/2010,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,2,URBANO,4.0,REHABILITACION,1.0,PROPIO,18.7841,-99.2309,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
MSIMB002071,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,17,MORELOS,29,YAUTEPEC,13,OAXTEPEC,3,CUAUTLA,1,DE CONSULTA EXTERNA,F,URBANO DE 03 NÚCLEOS BÁSICOS,99,NO ESPECIFICADO,CENTRO DE SALUD OAXTEPEC,CENTRO DE SALUD OAXTEPEC,5.0,CALLE,CHAPELA,SIN NUMERO  ,,7.0,COLONIA,SANTA ROSA,62738.0,A ESPALDAS DEL SISTEMA AGUA POTABLE DE SANTA ROSA SE EL CENTRO DE SALUD.,1,EN OPERACION,SSM961127H58,7353567766,,7353520061.0,,01/11/2009,01/10/2010,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,2,URBANO,4.0,REHABILITACION,1.0,PROPIO,18.9138475,-98.9719825,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
MSIMB002083,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,17,MORELOS,7,CUERNAVACA,1,CUERNAVACA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,G,URBANO DE 04 NÚCLEOS BÁSICOS,99,NO ESPECIFICADO,CENTRO DE SALUD SANTA MA. AHUACATITLÁN,CENTRO DE SALUD SANTA MA. AHUACATITLÁN,5.0,CALLE,INDEPENDENCIA,SIN NUMERO,,25.0,PUEBLO,SANTA MARIA AHUACATITLÁN,62100.0,A UNA CUADRA DEL JARDIN DE NIÑOS FEDERAL GUADALUPE SANDOVAL. GEORREFERENCIAS PRECISAS VERIFICADAS EN GOOGLE MAPS 2021-2023.,1,EN OPERACION,SSM961127H58,7773237734,,7773128877.0,,01/09/2009,16/02/2010,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,2,URBANO,4.0,REHABILITACION,1.0,PROPIO,18.9769,-99.2531,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
MSIMB002095,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,17,MORELOS,7,CUERNAVACA,1,CUERNAVACA,1,CUERNAVACA,1,DE CONSULTA EXTERNA,Q,URBANO DE 10 NÚCLEOS BÁSICOS,99,NO ESPECIFICADO,CENTRO DE SALUD TLALTENANGO,CENTRO DE SALUD TLALTENANGO,3.0,AVENIDA,EMILIANO ZAPATA,SIN NUMERO  ,,7.0,COLONIA,TLALTENANGO,62170.0,AL LADO DE TELMEX,1,EN OPERACION,SSM961127H58,7771023350,,7773128877.0,,01/10/2009,25/09/2010,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,2,URBANO,4.0,REHABILITACION,1.0,PROPIO,18.94169,-99.2416797,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
MSIMB002100,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,17,MORELOS,5,COATLAN DEL RIO,1,COATLAN DEL RIO,1,CUERNAVACA,1,DE CONSULTA EXTERNA,F,URBANO DE 03 NÚCLEOS BÁSICOS,99,NO ESPECIFICADO,CENTRO DE SALUD COATLAN DEL RÍO,CENTRO DE SALUD COATLAN DEL RÍO,3.0,AVENIDA,MORELOS,SIN NUMERO  ,,25.0,PUEBLO,COATLAN DEL RIO,62610.0,AL LADO DEL MERCDO MUNICIPAL,1,EN OPERACION,SSM961127H58,7513961550,,7773128877.0,,01/12/2007,19/10/2010,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,1,PRIMER NIVEL,2,URBANO,4.0,REHABILITACION,1.0,PROPIO,18.74203,-99.42972,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
MSIMB002112,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,17,MORELOS,13,JONACATEPEC DE LEANDRO VALLE,1,JONACATEPEC DE LEANDRO VALLE,3,CUAUTLA,2,DE HOSPITALIZACIÓN,N,HOSPITAL INTEGRAL (COMUNITARIO),99,NO ESPECIFICADO,HC DE JONACATEPEC,HC DE JONACATEPEC,24.0,CARRETERA,FEDERAL CUAUTLA-AXOCHIAPAN,SIN NUMERO  ,,25.0,PUEBLO,JONACATEPEC DE LEANDRO VALLE,62930.0,"A UN COSTADO DE LA ESCUELA SECUNDARIA TÉCNICA NO. 10 Y UNIDAD DEPORTIVA ""NIÑOS HEROES",1,EN OPERACION,SSM961127H58,7353551259,,7353551259.0,,01/01/2009,01/04/2010,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,2,SEGUNDO NIVEL,2,URBANO,1.0,OBRA NUEVA,1.0,PROPIO,18.6702237,-98.8065608,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
MSIMB002124,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,17,MORELOS,12,JOJUTLA,1,JOJUTLA,2,JOJUTLA,1,DE CONSULTA EXTERNA,UNE,UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES),UNE09,UNEMES DE CIRUGÍA AMBULATORIA,UNIDAD DE ESPECIALIDADES MEDICAS DE CIRUGIA AMBULATORIA,UNIDAD DE ESPECIALIDADES MEDICAS DE CIRUGIA AMBULATORIA,25.0,LIBRAMIENTO,CASABLANCA,SIN NUMERO  ,,7.0,COLONIA,JOJUTLA CENTRO,62900.0,A UN COSTADO DE PROCURADURIA GENERAL DE JOJUTLA ZONA SUR,1,EN OPERACION,SSM961127H58,7343421338,,7343420097.0,,01/02/2009,01/05/2011,,,,,,,,,,,IMB,SERVICIOS DE SALUD IMSS BIENESTAR ,2,SEGUNDO NIVEL,2,URBANO,4.0,REHABILITACION,1.0,PROPIO,18.7167,-99.1833,A,ALTA,18/07/2024,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",,,
